x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
-6,39,-11,0,,-3,10,25,171
-5,-55,59,0,,-7,-,,
-5,30,7,0,,19,24,99,
-8,30,-16,0,,-1,-8,43,25
-1,-56,77,0,,-8,-3,9,0
-6,40,-22,0,,-3,-53,60,0
-7,-27,24,0,,-7,28,6,0
-1,-7,41,0,,-8,11,4,0
-8,-4,7,0,,0,-35,56,0
-4,-61,69,0,,-5,16,13,0
-6,38,-7,0,,-7,-35,40,0
-8,14,-9,0,,0,6,19,0
0,-42,71,0,,-8,21,-2,0
-8,29,-15,0,,-1,-39,57,0
-8,-39,43,0,,0,-2,27,0
-2,15,23,0,,-4,20,-2,0
-9,-27,26,29,,-8,-11,22,0
0,-59,74,96,,-8,-11,22,0
-8,39,-13,136,,-4,-39,62,0
-2,-59,69,209,,-4,23,-4,0
-4,35,-9,286,,-8,-9,13,0
-5,-56,59,346,,1,-18,49,52
-2,28,3,368,,-6,0,2,103
-8,,,,,-7,-51,59,151
,-46,46,376,,-1,28,6,221
1,16,15,376,,-6,-49,43,300
-6,32,-17,368,,0,17,20,350
0,-58,73,357,,-2,36,-19,372
-5,36,-18,279,,-3,-70,77,378
-3,-57,72,212,,-2,51,-20,374
-2,38,-14,124,,-5,-72,69,369
-5,-58,64,57,,-2,43,-7,337
-2,33,-3,0,,-6,-59,52,258
-6,-54,52,0,,-2,26,14,184
